timestamp,url,method,status,proto,scenario,group,http_reqs,http_req_duration,http_req_blocked,http_req_connecting,http_req_tls_handshaking,http_req_sending,http_req_waiting,http_req_receiving,http_req_failed,datetime,check_load schedules success,check_load class success,check_claim lock success,check_claim entry success,check_payment success,check_get booking success
1751452295,http://localhost:8080/api/v1/schedules,GET,200.0,HTTP/1.1,default,,1.0,3.2107,0.6378,0.6378,0.0,0.0,3.2107,0.0,0.0,2025-07-02 17:31:35,,,,,,
1751452295,unknown,unknown,unknown,,default,,,,,,,,,,,2025-07-02 17:31:35,1.0,,,,,
1751452296,http://localhost:8080/api/v1/schedule/12,GET,200.0,HTTP/1.1,default,,1.0,7.6176,0.0,0.0,0.0,0.0,7.6176,0.0,0.0,2025-07-02 17:31:36,,,,,,
1751452296,unknown,unknown,unknown,,default,,,,,,,,,,,2025-07-02 17:31:36,1.0,1.0,,,,
1751452296,http://localhost:8080/api/v1/schedules,GET,200.0,HTTP/1.1,default,,1.0,2.6992,1.1197,1.1197,0.0,0.0,2.6992,0.0,0.0,2025-07-02 17:31:36,,,,,,
1751452296,http://localhost:8080/api/v1/schedule/11,GET,200.0,HTTP/1.1,default,,1.0,7.6661,0.0,0.0,0.0,0.0,7.6661,0.0,0.0,2025-07-02 17:31:36,,,,,,
1751452296,http://localhost:8080/api/v1/schedule/9,GET,200.0,HTTP/1.1,default,,1.0,8.062,0.0,0.0,0.0,0.0,8.062,0.0,0.0,2025-07-02 17:31:36,,,,,,
1751452297,http://localhost:8080/api/v1/claim/lock,POST,201.0,HTTP/1.1,default,,1.0,7.4137,0.0,0.0,0.0,0.0,7.4137,0.0,0.0,2025-07-02 17:31:37,,,,,,
1751452297,unknown,unknown,unknown,,default,,,,,,,,,,,2025-07-02 17:31:37,1.0,1.0,1.0,1.0,,
1751452297,http://localhost:8080/api/v1/schedule/11,GET,200.0,HTTP/1.1,default,,1.0,7.3171,0.0,0.0,0.0,0.0,7.3171,0.0,0.0,2025-07-02 17:31:37,,,,,,
1751452297,http://localhost:8080/api/v1/schedules,GET,200.0,HTTP/1.1,default,,1.0,2.5487,0.8614,0.8614,0.0,0.0,2.5487,0.0,0.0,2025-07-02 17:31:37,,,,,,
1751452297,http://localhost:8080/api/v1/schedule/12,GET,200.0,HTTP/1.1,default,,1.0,8.5635,0.0,0.0,0.0,0.0,8.0421,0.5214,0.0,2025-07-02 17:31:37,,,,,,
1751452297,http://localhost:8080/api/v1/schedule/9,GET,200.0,HTTP/1.1,default,,1.0,10.3804,0.0,0.0,0.0,0.0,10.3804,0.0,0.0,2025-07-02 17:31:37,,,,,,
1751452297,http://localhost:8080/api/v1/claim/entry/02d4755a-2c2e-4e59-b723-5574b2182e08,POST,200.0,HTTP/1.1,default,,1.0,112.5668,0.0,0.0,0.0,0.0,112.5668,0.0,0.0,2025-07-02 17:31:37,,,,,,
1751452297,http://localhost:8080/api/v1/claim/entry/6bde6dba-b961-44d3-a2bc-4f24d8e47791,POST,200.0,HTTP/1.1,default,,1.0,125.5926,0.0,0.0,0.0,0.0,125.5926,0.0,0.0,2025-07-02 17:31:37,,,,,,
1751452298,http://localhost:8080/api/v1/claim/lock,POST,201.0,HTTP/1.1,default,,1.0,13.0697,0.0,0.0,0.0,0.0,13.0697,0.0,0.0,2025-07-02 17:31:38,,,,,,
1751452298,unknown,unknown,unknown,,default,,,,,,,,,,,2025-07-02 17:31:38,1.0,1.0,1.0,1.0,1.0,
1751452298,http://localhost:8080/api/v1/schedule/10,GET,200.0,HTTP/1.1,default,,1.0,7.6022,0.0,0.0,0.0,0.0,7.6022,0.0,0.0,2025-07-02 17:31:38,,,,,,
1751452298,http://localhost:8080/api/v1/schedules,GET,200.0,HTTP/1.1,default,,1.0,3.0557,1.2834,1.2834,0.0,0.0,3.0557,0.0,0.0,2025-07-02 17:31:38,,,,,,
1751452298,http://localhost:8080/api/v1/claim/entry/f70bec4a-bbe9-4eda-8f4e-a7a1a14d5668,POST,200.0,HTTP/1.1,default,,1.0,128.8921,0.0,0.0,0.0,0.0,128.8921,0.0,0.0,2025-07-02 17:31:38,,,,,,
1751452298,http://localhost:8080/api/v1/schedule/12,GET,200.0,HTTP/1.1,default,,1.0,7.8384,0.0,0.0,0.0,0.0,7.8384,0.0,0.0,2025-07-02 17:31:38,,,,,,
1751452298,http://localhost:8080/api/v1/claim/entry/a6b4353d-bc35-4015-93a7-a877b8d03494,POST,200.0,HTTP/1.1,default,,1.0,126.0426,0.0,0.0,0.0,0.0,126.0426,0.0,0.0,2025-07-02 17:31:38,,,,,,
1751452298,http://localhost:8080/api/v1/payment/callback,POST,200.0,HTTP/1.1,default,,1.0,2.9459,0.0,0.0,0.0,0.0,2.9459,0.0,0.0,2025-07-02 17:31:38,,,,,,
1751452298,http://localhost:8080/api/v1/claim/entry/d310caf2-e8b5-479a-b080-5649b1282dcb,POST,200.0,HTTP/1.1,default,,1.0,123.2735,0.0,0.0,0.0,0.0,123.2735,0.0,0.0,2025-07-02 17:31:38,,,,,,
