metric_name,timestamp,metric_value,check,error,error_code,expected_response,group,method,name,proto,scenario,service,status,subproto,tls_version,url,extra_tags,metadata
http_req_tls_handshaking,1751530202,0.000000,,,,true,::Get Booking by Order ID,GET,/booking/order/:id,HTTP/1.1,default,,200,,,/booking/order/:id,,
http_req_sending,1751530202,0.000000,,,,true,::Get Booking by Order ID,GET,/booking/order/:id,HTTP/1.1,default,,200,,,/booking/order/:id,,
http_req_waiting,1751530202,36.492700,,,,true,::Get Booking by Order ID,GET,/booking/order/:id,HTTP/1.1,default,,200,,,/booking/order/:id,,
http_req_receiving,1751530202,0.773800,,,,true,::Get Booking by Order ID,GET,/booking/order/:id,HTTP/1.1,default,,200,,,/booking/order/:id,,
http_req_failed,1751530202,0.000000,,,,true,::Get Booking by Order ID,GET,/booking/order/:id,HTTP/1.1,default,,200,,,/booking/order/:id,,
checks,1751530202,1.000000,get booking success,,,,::Get Booking by Order ID,,,,default,,,,,,,
group_duration,1751530202,37.266500,,,,,::Get Booking by Order ID,,,,default,,,,,,,
http_reqs,1751530203,1.000000,,,,true,::Payment Callback,POST,/payment/callback,HTTP/1.1,default,,200,,,/payment/callback,,
http_req_duration,1751530203,38.715600,,,,true,::Payment Callback,POST,/payment/callback,HTTP/1.1,default,,200,,,/payment/callback,,
http_req_blocked,1751530203,0.000000,,,,true,::Payment Callback,POST,/payment/callback,HTTP/1.1,default,,200,,,/payment/callback,,
http_req_connecting,1751530203,0.000000,,,,true,::Payment Callback,POST,/payment/callback,HTTP/1.1,default,,200,,,/payment/callback,,
http_req_tls_handshaking,1751530203,0.000000,,,,true,::Payment Callback,POST,/payment/callback,HTTP/1.1,default,,200,,,/payment/callback,,
http_req_sending,1751530203,0.000000,,,,true,::Payment Callback,POST,/payment/callback,HTTP/1.1,default,,200,,,/payment/callback,,
http_req_waiting,1751530203,38.353000,,,,true,::Payment Callback,POST,/payment/callback,HTTP/1.1,default,,200,,,/payment/callback,,
http_req_receiving,1751530203,0.362600,,,,true,::Payment Callback,POST,/payment/callback,HTTP/1.1,default,,200,,,/payment/callback,,
http_req_failed,1751530203,0.000000,,,,true,::Payment Callback,POST,/payment/callback,HTTP/1.1,default,,200,,,/payment/callback,,
checks,1751530203,1.000000,payment callback success,,,,::Payment Callback,,,,default,,,,,,,
group_duration,1751530203,39.228900,,,,,::Payment Callback,,,,default,,,,,,,
data_sent,1751530203,1362.000000,,,,,,,,,default,,,,,,,
data_received,1751530203,4876.000000,,,,,,,,,default,,,,,,,
iteration_duration,1751530203,527.535800,,,,,,,,,default,,,,,,,
iterations,1751530203,1.000000,,,,,,,,,default,,,,,,,
http_reqs,1751530203,1.000000,,,,true,::Get Schedules,GET,/schedules,HTTP/1.1,default,,200,,,/schedules,,
http_req_duration,1751530203,35.000900,,,,true,::Get Schedules,GET,/schedules,HTTP/1.1,default,,200,,,/schedules,,
http_req_blocked,1751530203,0.000000,,,,true,::Get Schedules,GET,/schedules,HTTP/1.1,default,,200,,,/schedules,,
http_req_connecting,1751530203,0.000000,,,,true,::Get Schedules,GET,/schedules,HTTP/1.1,default,,200,,,/schedules,,
http_req_tls_handshaking,1751530203,0.000000,,,,true,::Get Schedules,GET,/schedules,HTTP/1.1,default,,200,,,/schedules,,
http_req_sending,1751530203,0.000000,,,,true,::Get Schedules,GET,/schedules,HTTP/1.1,default,,200,,,/schedules,,
http_req_waiting,1751530203,35.000900,,,,true,::Get Schedules,GET,/schedules,HTTP/1.1,default,,200,,,/schedules,,
http_req_receiving,1751530203,0.000000,,,,true,::Get Schedules,GET,/schedules,HTTP/1.1,default,,200,,,/schedules,,
http_req_failed,1751530203,0.000000,,,,true,::Get Schedules,GET,/schedules,HTTP/1.1,default,,200,,,/schedules,,
checks,1751530203,1.000000,load schedules success,,,,::Get Schedules,,,,default,,,,,,,
group_duration,1751530203,35.000900,,,,,::Get Schedules,,,,default,,,,,,,
http_reqs,1751530203,1.000000,,,,true,::Get Schedule by ID,GET,/schedule/:id,HTTP/1.1,default,,200,,,/schedule/:id,,
http_req_duration,1751530203,156.886600,,,,true,::Get Schedule by ID,GET,/schedule/:id,HTTP/1.1,default,,200,,,/schedule/:id,,
http_req_blocked,1751530203,0.000000,,,,true,::Get Schedule by ID,GET,/schedule/:id,HTTP/1.1,default,,200,,,/schedule/:id,,
http_req_connecting,1751530203,0.000000,,,,true,::Get Schedule by ID,GET,/schedule/:id,HTTP/1.1,default,,200,,,/schedule/:id,,
http_req_tls_handshaking,1751530203,0.000000,,,,true,::Get Schedule by ID,GET,/schedule/:id,HTTP/1.1,default,,200,,,/schedule/:id,,
http_req_sending,1751530203,0.000000,,,,true,::Get Schedule by ID,GET,/schedule/:id,HTTP/1.1,default,,200,,,/schedule/:id,,
http_req_waiting,1751530203,156.886600,,,,true,::Get Schedule by ID,GET,/schedule/:id,HTTP/1.1,default,,200,,,/schedule/:id,,
http_req_receiving,1751530203,0.000000,,,,true,::Get Schedule by ID,GET,/schedule/:id,HTTP/1.1,default,,200,,,/schedule/:id,,
http_req_failed,1751530203,0.000000,,,,true,::Get Schedule by ID,GET,/schedule/:id,HTTP/1.1,default,,200,,,/schedule/:id,,
checks,1751530203,1.000000,load class success,,,,::Get Schedule by ID,,,,default,,,,,,,
group_duration,1751530203,157.768200,,,,,::Get Schedule by ID,,,,default,,,,,,,
http_reqs,1751530203,1.000000,,,,true,::Claim Lock,POST,/claim/lock,HTTP/1.1,default,,201,,,/claim/lock,,
http_req_duration,1751530203,118.889800,,,,true,::Claim Lock,POST,/claim/lock,HTTP/1.1,default,,201,,,/claim/lock,,
http_req_blocked,1751530203,0.000000,,,,true,::Claim Lock,POST,/claim/lock,HTTP/1.1,default,,201,,,/claim/lock,,
http_req_connecting,1751530203,0.000000,,,,true,::Claim Lock,POST,/claim/lock,HTTP/1.1,default,,201,,,/claim/lock,,
http_req_tls_handshaking,1751530203,0.000000,,,,true,::Claim Lock,POST,/claim/lock,HTTP/1.1,default,,201,,,/claim/lock,,
http_req_sending,1751530203,0.000000,,,,true,::Claim Lock,POST,/claim/lock,HTTP/1.1,default,,201,,,/claim/lock,,
http_req_waiting,1751530203,118.889800,,,,true,::Claim Lock,POST,/claim/lock,HTTP/1.1,default,,201,,,/claim/lock,,
http_req_receiving,1751530203,0.000000,,,,true,::Claim Lock,POST,/claim/lock,HTTP/1.1,default,,201,,,/claim/lock,,
http_req_failed,1751530203,0.000000,,,,true,::Claim Lock,POST,/claim/lock,HTTP/1.1,default,,201,,,/claim/lock,,
checks,1751530203,1.000000,claim lock success,,,,::Claim Lock,,,,default,,,,,,,
group_duration,1751530203,118.889800,,,,,::Claim Lock,,,,default,,,,,,,
http_reqs,1751530203,1.000000,,,1500,false,::Claim Entry,POST,/claim/entry/:sessionId,HTTP/1.1,default,,500,,,/claim/entry/:sessionId,,
http_req_duration,1751530203,34.989900,,,1500,false,::Claim Entry,POST,/claim/entry/:sessionId,HTTP/1.1,default,,500,,,/claim/entry/:sessionId,,
http_req_blocked,1751530203,0.000000,,,1500,false,::Claim Entry,POST,/claim/entry/:sessionId,HTTP/1.1,default,,500,,,/claim/entry/:sessionId,,
http_req_connecting,1751530203,0.000000,,,1500,false,::Claim Entry,POST,/claim/entry/:sessionId,HTTP/1.1,default,,500,,,/claim/entry/:sessionId,,
http_req_tls_handshaking,1751530203,0.000000,,,1500,false,::Claim Entry,POST,/claim/entry/:sessionId,HTTP/1.1,default,,500,,,/claim/entry/:sessionId,,
http_req_sending,1751530203,0.000000,,,1500,false,::Claim Entry,POST,/claim/entry/:sessionId,HTTP/1.1,default,,500,,,/claim/entry/:sessionId,,
http_req_waiting,1751530203,34.989900,,,1500,false,::Claim Entry,POST,/claim/entry/:sessionId,HTTP/1.1,default,,500,,,/claim/entry/:sessionId,,
http_req_receiving,1751530203,0.000000,,,1500,false,::Claim Entry,POST,/claim/entry/:sessionId,HTTP/1.1,default,,500,,,/claim/entry/:sessionId,,
http_req_failed,1751530203,1.000000,,,1500,false,::Claim Entry,POST,/claim/entry/:sessionId,HTTP/1.1,default,,500,,,/claim/entry/:sessionId,,
checks,1751530203,0.000000,claim entry success,,,,::Claim Entry,,,,default,,,,,,,
group_duration,1751530203,38.749900,,,,,::Claim Entry,,,,default,,,,,,,
http_reqs,1751530203,1.000000,,,,true,::Get Booking by Order ID,GET,/booking/order/:id,HTTP/1.1,default,,200,,,/booking/order/:id,,
http_req_duration,1751530203,33.814500,,,,true,::Get Booking by Order ID,GET,/booking/order/:id,HTTP/1.1,default,,200,,,/booking/order/:id,,
http_req_blocked,1751530203,0.000000,,,,true,::Get Booking by Order ID,GET,/booking/order/:id,HTTP/1.1,default,,200,,,/booking/order/:id,,
http_req_connecting,1751530203,0.000000,,,,true,::Get Booking by Order ID,GET,/booking/order/:id,HTTP/1.1,default,,200,,,/booking/order/:id,,
http_req_tls_handshaking,1751530203,0.000000,,,,true,::Get Booking by Order ID,GET,/booking/order/:id,HTTP/1.1,default,,200,,,/booking/order/:id,,
http_req_sending,1751530203,0.000000,,,,true,::Get Booking by Order ID,GET,/booking/order/:id,HTTP/1.1,default,,200,,,/booking/order/:id,,
http_req_waiting,1751530203,32.817200,,,,true,::Get Booking by Order ID,GET,/booking/order/:id,HTTP/1.1,default,,200,,,/booking/order/:id,,
http_req_receiving,1751530203,0.997300,,,,true,::Get Booking by Order ID,GET,/booking/order/:id,HTTP/1.1,default,,200,,,/booking/order/:id,,
http_req_failed,1751530203,0.000000,,,,true,::Get Booking by Order ID,GET,/booking/order/:id,HTTP/1.1,default,,200,,,/booking/order/:id,,
